transaction_id,sender_upi,receiver_upi,amount,location,device_type,hour,is_fraud
TXN01861,user4777@upi,shop1843@upi,68119.17,Bangalore,Mobile,23,1
TXN00354,user9972@upi,shop9281@upi,3040.33,Jaipur,Mobile,10,0
TXN01334,user9361@upi,shop5609@upi,691.82,Nagpur,Mobile,6,0
TXN00906,user2854@upi,shop3945@upi,11683.18,Patna,Mobile,7,0
TXN01290,user5940@upi,shop2380@upi,564.18,Hyderabad,Mobile,15,0
TXN01274,user1826@upi,shop8173@upi,11986.81,Bhopal,Desktop,21,0
TXN00939,user3446@upi,shop5595@upi,12612.68,Hyderabad,Tablet,14,0
TXN01732,user1379@upi,shop2694@upi,28874.52,Kolkata,Mobile,1,1
TXN00066,user5349@upi,shop1626@upi,1634.95,Pune,Mobile,16,0
TXN01324,user5882@upi,shop7388@upi,1490.18,Bangalore,Mobile,10,0
TXN00057,user7049@upi,shop3426@upi,6452.5,Mumbai,Mobile,18,0
TXN01293,user9846@upi,shop5238@upi,3627.68,Indore,Mobile,11,0
TXN01119,user4622@upi,shop4087@upi,11928.65,Jaipur,Mobile,17,0
TXN00585,user9589@upi,shop1474@upi,2614.32,Patna,Desktop,17,0
TXN00375,user3365@upi,shop8586@upi,13721.97,Jaipur,Mobile,11,0
TXN00276,user8325@upi,shop1693@upi,10904.95,Patna,Mobile,23,0
TXN00747,user5281@upi,shop9783@upi,6359.19,Hyderabad,Mobile,23,0
TXN00129,user4241@upi,shop7965@upi,1730.5,Chennai,Mobile,19,0
TXN01647,user3264@upi,shop5028@upi,5753.95,Jaipur,Mobile,12,0
TXN01853,user4272@upi,shop4206@upi,40199.6,Chennai,Desktop,1,1
TXN00675,user1769@upi,shop7251@upi,5819.44,Indore,Tablet,10,0
TXN01665,user3700@upi,shop1895@upi,12052.06,Surat,Mobile,9,0
TXN01982,user2785@upi,shop6089@upi,46594.84,Mumbai,Mobile,1,1
TXN01084,user5259@upi,shop4715@upi,7268.8,Kolkata,Desktop,5,0
TXN01923,user2335@upi,shop7692@upi,53681.81,Delhi,Desktop,5,1
TXN00100,user7149@upi,shop7498@upi,14122.64,Chennai,Mobile,15,0
TXN01180,user2375@upi,shop6143@upi,9027.98,Bhopal,Mobile,20,0
TXN00965,user4992@upi,shop9977@upi,2393.71,Ahmedabad,Mobile,10,0
TXN00793,user2296@upi,shop3654@upi,5160.95,Hyderabad,Mobile,9,0
TXN00030,user1514@upi,shop6413@upi,1072.15,Chennai,Mobile,12,0
TXN00629,user5308@upi,shop9571@upi,14597.06,Hyderabad,Desktop,9,0
TXN00945,user6084@upi,shop6363@upi,2157.99,Bhopal,Mobile,21,0
TXN00573,user7358@upi,shop7510@upi,8285.29,Bhopal,Mobile,11,0
TXN00908,user4308@upi,shop8449@upi,1361.79,Hyderabad,Mobile,19,0
TXN01081,user4806@upi,shop9513@upi,9673.63,Pune,Mobile,14,0
TXN00451,user9115@upi,shop9369@upi,1707.03,Delhi,Mobile,12,0
TXN01610,user4116@upi,shop7512@upi,7430.44,Jaipur,Desktop,21,0
TXN01291,user3064@upi,shop9527@upi,14878.94,Kolkata,Mobile,12,0
TXN01079,user5803@upi,shop7824@upi,14543.92,Jaipur,Tablet,12,0
TXN00255,user2337@upi,shop7142@upi,3375.84,Hyderabad,Tablet,17,0
TXN00125,user4404@upi,shop4457@upi,3977.05,Delhi,Mobile,8,0
TXN01928,user4955@upi,shop5806@upi,29522.37,Bangalore,Desktop,4,1
TXN00252,user3042@upi,shop5670@upi,1267.29,Bangalore,Mobile,19,0
TXN00586,user5087@upi,shop1541@upi,6852.17,Patna,Mobile,8,0
TXN01569,user9652@upi,shop1693@upi,9114.53,Bangalore,Mobile,18,0
TXN00825,user1688@upi,shop8786@upi,10329.21,Bangalore,Mobile,6,0
